tested up until 2605/146994

12	8	20	0	-12	-3	-6	-2	2	-3	-7	6	-1	-10	6
18	12	32	0	-18	-6	-10	-3	5	-6	-10	9	-1	-16	9
6	18	12	-6	0	-6	-6	3	0	-6	-12	6	5	-5	-1
6	26	12	-6	0	-7	-8	3	-2	-6	-16	8	7	-6	-1
6	30	18	-6	0	-9	-10	3	-1	-9	-19	9	8	-8	-1
6	34	16	-6	0	-9	-12	3	-2	-6	-20	12	9	-10	-1
12	8	0	-12	0	-1	-2	6	-2	5	-5	8	1	-4	-2
18	26	0	-18	0	-5	-4	9	-7	1	-15	9	5	-1	-3
12	18	2	-12	0	-4	-3	6	-4	-1	-11	6	4	-1	-2
6	12	1	-6	0	-2.50000000000000	-2	3.50000000000000	-3	-1	-7	3	2.50000000000000	0	-1
8	10	0	-8	0	-2	-1	4	-3	0	-6	3	2	0	-1
6	10.6666666700000	0	-6	0	-2	-1.66666666700000	3.33333333300000	-3	0	-6	3	2	0	-1
12	14	0	-12	3	-1.50000000000000	-1	6	-5	1	-10	6	3	-2	-3.50000000000000
15	12	6	-12	-3	-4.50000000000000	-3	4.50000000000000	0	-3	-9	6	3.50000000000000	-2	-1
12	10	2	-10	-2	-3	-2	4	-1	-1	-7	5	3	-1	-1
36	4	-2	-24	-8	-3	0	6	1	3	-5	9	2	-2	-1
24	18	6	-18	-6	-6	-4	6	-1	-3	-13	9	5	-2	-1
6	26	0	-6	0	-5	-8	3	-6	2	-12	8	5	-2	-1
9	7	0	-9	0	-1.50000000000000	-1	4.50000000000000	-1.50000000000000	1.50000000000000	-4.50000000000000	4.50000000000000	1.50000000000000	-1.50000000000000	-1.50000000000000
6	7.33333333300000	2	-6	0	-2	-1.33333333300000	3	-1	-1	-5	3	2	-1	-1
12	4	6	2	-12	1	-2	-3	-4	1	-4	6	-1	-2	8
12	16	12	0	-12	-1	-6	-2	-6	3	-9	6	-3	-6	6
2	8	-2	6.66666666700000	-2	-1	-2.66666666700000	-2	-6	0	-2	-4	1	2	5
12	14	-6	6	-12	-1	0	-1	-11	-2	-5	-5	1	8	10
24	12	-10	-2	-22	-2	-2	-1	-6	2	-3	5	1	8	10
18	6	-9	-3	-15	-1	-1.25000000000000	-1	-3	3	-1.50000000000000	6	1.50000000000000	6	6
4	14	-4	9.33333333300000	-4	-1	-1	-1.33333333300000	-12	-4	-6	-8	2	8	8
7	-7	10	-7	7	3.50000000000000	14	10	-3.50000000000000	-7	-3.50000000000000	-6	-2.50000000000000	-4	-1
92	-24	-8	-66	-10	-1	12	20	5	14	7	12	-5	-8	-2
0	2	8	0	10	-1	3.33333333300000	7	-1.66666666700000	-8	-3.66666666700000	-6	0	-4	-3
50	-12	-4	-36	-6	-1	6	11	4	6	2	8	-1	-4	-2
92	-24	-10	-66	-8	-1	12	20	7	12	5	14	-2	-8	-5
8	-8	8	-8	10	4	16	11	-4	-6	-4	-8	-1	-4	-2
7	-7	7	-7	10	3.50000000000000	14	10	-3.50000000000000	-6	-3.50000000000000	-7	-1	-4	-2.50000000000000
2	-2	12	-2	18	1	10	13	-4	-12	-6	-12	0	-6	-5
18.5000000000000	-8	-3	-12.5000000000000	-1.50000000000000	1	4	3.25000000000000	2	3	1.50000000000000	3	0	-1.50000000000000	-1.25000000000000
54	-26	-10	-36	-4	4	16	9	5	12	5	6	1	-4	-2
0	6	14	0	8	-3	2	9	-1	-12	-7	-6	1	-4	-2
90	-42	-18	-60	-4	6	24	15	9	18	9	12	1	-8	-6
0	6	18	0	20	-3	6	15	-3	-18	-9	-12	1	-8	-6
12	-8	0	-12	12	2	11	6	-3	6	0	-6	1	-4	-2
12	2	12	-12	0	-3	1	6	3	-6	-6	6	1	-4	-2
6	-4	4	-4	10	1	6	7	-2	-6	-2	-6	1	-4	-2
24	-10	-6	-14	-2	1	4	3	3	4	3	5	1	-3	-1
10	4	0	0	-10	0	2	-1	-2	-2	-4	4	2	2	5
4	12	-4	4	-2	-3	-4	-1	-6	2	-2	-4	2	2	5
12	-10	6	-12	12	4	16	6	-3	6	-3	-6	1	-7	-2
12	10	18	-12	0	-6	-4	6	3	-6	-9	6	1	-7	-2
6	8	6	-6	0	-3	-2	3	0	-3	-6	3	2	-2	-1
30	12	24	-24	-6	-9	-6	9	6	-6	-12	12	1	-10	-2
6	12	18	-6	0	-6	-6	3	3	-6	-9	6	2	-8	-1
8	6	18	0	-8	-4	-6	-1	4	-4	-5	5	0	-9	4
12	-12	12	-12	18	6	24	9	-6	6	-6	-12	1	-10	-2
6	-2	0	-6	6	2	8	3	-3	3	-3	-3	2	-2	-1
2	-2	10	4	2	1	4	-1	-1	4	-1	-5	0	-9	4
